region,year,infant_mortality,region_standard
        Белгородская область,1990,103.0,Белгородская область
        Брянская область,1990,124.0,Брянская область
        Владимирская область,1990,80.0,Владимирская область
        Воронежская область,1990,138.0,Воронежская область
        Ивановская область,1990,74.0,Ивановская область
        Калужская область,1990,69.0,Калужская область
        Костромская область,1990,70.0,Костромская область
        Курская область,1990,96.0,Курская область
        Липецкая область,1990,70.0,Липецкая область
        Московская область,1990,202.0,Московская область
        Орловская область,1990,71.0,Орловская область
        Рязанская область,1990,72.0,Рязанская область
        Смоленская область,1990,80.0,Смоленская область
        Тамбовская область,1990,111.0,Тамбовская область
        Тверская область,1990,133.0,Тверская область
        Тульская область,1990,64.0,Тульская область
        Ярославская область,1990,58.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1990,0.0,Москва
        Республика Карелия,1990,19.0,Республика Карелия
        Республика Коми,1990,71.0,Республика Коми
        Архангельская область,1990,116.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1990,11.0,Ненецкий автономный округ
        Вологодская область,1990,117.0,Вологодская область
        Калининградская область,1990,64.0,Калининградская область
        Ленинградская область,1990,95.0,Ленинградская область
        Мурманская область,1990,23.0,Мурманская область
        Новгородская область,1990,59.0,Новгородская область
        Псковская область,1990,73.0,Псковская область
        Город Санкт-Петербург город федерального значения,1990,0.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1990,51.0,Республика Адыгея
        Республика Калмыкия,1990,53.0,Республика Калмыкия
        Краснодарский край,1990,504.0,Краснодарский край
        Астраханская область,1990,103.0,Астраханская область
        Волгоградская область,1990,154.0,Волгоградская область
        Ростовская область,1990,280.0,Ростовская область
        Республика Дагестан,1990,651.0,Республика Дагестан
        Республика Ингушетия,1990,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1990,127.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1990,59.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1990,49.0,Республика Северная Осетия - Алания
        Чеченская Республика,1990,662.0,Чеченская Республика
        Ставропольский край,1990,292.0,Ставропольский край
        Республика Башкортостан,1990,335.0,Республика Башкортостан
        Республика Марий Эл,1990,94.0,Республика Марий Эл
        Республика Мордовия,1990,54.0,Республика Мордовия
        Республика Татарстан (Татарстан),1990,216.0,Республика Татарстан
        Удмуртская Республика,1990,124.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1990,121.0,Чувашская Республика
        Пермский край,1990,196.0,Пермский край
        Кировская область,1990,161.0,Кировская область
        Нижегородская область,1990,144.0,Нижегородская область
        Оренбургская область,1990,215.0,Оренбургская область
        Пензенская область,1990,97.0,Пензенская область
        Самарская область,1990,132.0,Самарская область
        Саратовская область,1990,189.0,Саратовская область
        Ульяновская область,1990,112.0,Ульяновская область
        Курганская область,1990,174.0,Курганская область
        Свердловская область,1990,180.0,Свердловская область
        Тюменская область,1990,268.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1990,44.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1990,58.0,Ямало-Ненецкий автономный округ
        Челябинская область,1990,191.0,Челябинская область
        Республика Алтай,1990,85.0,Республика Алтай
        Республика Тыва,1990,148.0,Республика Тыва
        Республика Хакасия,1990,60.0,Республика Хакасия
        Алтайский край,1990,217.0,Алтайский край
        Красноярский край,1990,346.0,Красноярский край
        Иркутская область,1990,281.0,Иркутская область
        Кемеровская область - Кузбасс,1990,139.0,Кемеровская область
        Новосибирская область,1990,232.0,Новосибирская область
        Омская область,1990,210.0,Омская область
        Томская область,1990,91.0,Томская область
