region,year,infant_mortality,region_standard
        Белгородская область,1990,209.0,Белгородская область
        Брянская область,1990,198.0,Брянская область
        Владимирская область,1990,221.0,Владимирская область
        Воронежская область,1990,261.0,Воронежская область
        Ивановская область,1990,181.0,Ивановская область
        Калужская область,1990,145.0,Калужская область
        Костромская область,1990,116.0,Костромская область
        Курская область,1990,196.0,Курская область
        Липецкая область,1990,149.0,Липецкая область
        Московская область,1990,843.0,Московская область
        Орловская область,1990,86.0,Орловская область
        Рязанская область,1990,181.0,Рязанская область
        Смоленская область,1990,101.0,Смоленская область
        Тамбовская область,1990,155.0,Тамбовская область
        Тверская область,1990,242.0,Тверская область
        Тульская область,1990,222.0,Тульская область
        Ярославская область,1990,194.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1990,1617.0,Москва
        Республика Карелия,1990,131.0,Республика Карелия
        Республика Коми,1990,212.0,Республика Коми
        Архангельская область,1990,198.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1990,15.0,Ненецкий автономный округ
        Вологодская область,1990,208.0,Вологодская область
        Калининградская область,1990,122.0,Калининградская область
        Ленинградская область,1990,169.0,Ленинградская область
        Мурманская область,1990,194.0,Мурманская область
        Новгородская область,1990,112.0,Новгородская область
        Псковская область,1990,82.0,Псковская область
        Город Санкт-Петербург город федерального значения,1990,991.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1990,56.0,Республика Адыгея
        Республика Калмыкия,1990,50.0,Республика Калмыкия
        Краснодарский край,1990,616.0,Краснодарский край
        Астраханская область,1990,147.0,Астраханская область
        Волгоградская область,1990,363.0,Волгоградская область
        Ростовская область,1990,680.0,Ростовская область
        Республика Дагестан,1990,337.0,Республика Дагестан
        Республика Ингушетия,1990,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1990,173.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1990,58.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1990,92.0,Республика Северная Осетия - Алания
        Чеченская Республика,1990,263.0,Чеченская Республика
        Ставропольский край,1990,316.0,Ставропольский край
        Республика Башкортостан,1990,731.0,Республика Башкортостан
        Республика Марий Эл,1990,103.0,Республика Марий Эл
        Республика Мордовия,1990,159.0,Республика Мордовия
        Республика Татарстан (Татарстан),1990,731.0,Республика Татарстан
        Удмуртская Республика,1990,238.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1990,169.0,Чувашская Республика
        Пермский край,1990,545.0,Пермский край
        Кировская область,1990,211.0,Кировская область
        Нижегородская область,1990,530.0,Нижегородская область
        Оренбургская область,1990,369.0,Оренбургская область
        Пензенская область,1990,217.0,Пензенская область
        Самарская область,1990,598.0,Самарская область
        Саратовская область,1990,479.0,Саратовская область
        Ульяновская область,1990,273.0,Ульяновская область
        Курганская область,1990,134.0,Курганская область
        Свердловская область,1990,762.0,Свердловская область
        Тюменская область,1990,665.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1990,331.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1990,105.0,Ямало-Ненецкий автономный округ
        Челябинская область,1990,623.0,Челябинская область
        Республика Алтай,1990,36.0,Республика Алтай
        Республика Тыва,1990,124.0,Республика Тыва
