year,poverty_percent,region,income_per_capita,real_income,nominal_wage,real_wage,children_percent,elderly_percent,working_age_percent,alcohol_rate,drugs_rate,births,total,18_30,31_40,41_50,51_60,60_,gdp_per_capita,population,infant_mortality_rural,infant_mortality_urban,retail_per_capita,welfare_percent,production_total,dependent_percent,disabled_rate_per_1000,addiction_rate,production_per_capita,poverty_welfare_ratio,birth_rate_per_1000,infant_mortality_rural_rate,infant_mortality_urban_rate,disabled_18_30_rate,disabled_31_40_rate,disabled_41_50_rate,disabled_51_60_rate,disabled_60_plus_rate,log_income_per_capita,log_real_income,log_nominal_wage,log_real_wage,log_gdp_per_capita,log_retail_per_capita,log_production_total,log_production_per_capita,log_births,log_population,log_birth_rate_per_1000,log_total,log_18_30,log_31_40,log_41_50,log_51_60,log_60_,log_disabled_rate_per_1000,log_disabled_18_30_rate,log_disabled_31_40_rate,log_disabled_41_50_rate,log_disabled_51_60_rate,log_disabled_60_plus_rate,log_alcohol_rate,log_drugs_rate,log_addiction_rate,log_infant_mortality_rural,log_infant_mortality_urban,log_infant_mortality_rural_rate,log_infant_mortality_urban_rate,agglo_cluster
2015,8.5,Белгородская область,28043.0,99.3,25456.0,93.2,43.4,11.8,42.3,50.7,2.0,17864.0,207048.37499999997,5445.791666666667,9955.541666666668,15367.875,33092.791666666664,143186.375,447619.7,1501699.0,42.0,68.0,178097.0,11.3,672848478.5,55.2,137.87608235738318,52.7,448.0581518000611,0.7522123893805309,11.895859290044145,2.3510971786833856,3.80653828929691,3.626420252438516,6.629518742881674,10.23365867593972,22.036900648310123,95.34958403781316,10.241529984326858,4.60816569496789,10.144746033275508,4.545420181582317,13.011701500999358,12.090089239568432,20.327030720358827,6.107152393387353,9.79059877045751,14.222108357668372,2.556906274572933,12.240712570374615,8.602782029298943,9.205985068060828,9.640099639318985,10.407100980832444,11.87190936621424,4.933582041681957,1.5317834054328094,2.032024768979662,2.418914510520635,3.1370973063063494,4.567983077651401,3.945457781514384,1.0986122886681098,3.983413001514819,3.7612001156935624,4.23410650459726,1.2092878082402008,1.5699771346413665,2
2016,8.1,Белгородская область,29799.0,100.8,27091.0,100.8,43.4,11.8,42.3,46.1,1.6,17261.0,207048.37499999997,5445.791666666667,9955.541666666668,15367.875,33092.791666666664,143186.375,501467.8,1506976.0,36.0,72.0,192504.0,11.8,721036298.8100001,55.2,137.3932796540887,47.7,478.46568147734274,0.6864406779661016,11.454064298303358,2.085626556978159,4.171253113956318,3.613721563360443,6.606304059697479,10.197823322999172,21.95973370953928,95.01569699849234,10.302263672493496,4.623010104116422,10.206993760334797,4.623010104116422,13.125296671088876,12.167877406398633,20.396200040458996,6.172672320286309,9.756262832779605,14.225616215382011,2.5220470193005395,12.240712570374615,8.602782029298943,9.205985068060828,9.640099639318985,10.407100980832444,11.87190936621424,4.930099484591966,1.5290348118882828,2.028977385001736,2.4157194132525985,3.1337419733675262,4.56451168850243,3.852273001022372,0.9555114450274363,3.885679030088544,3.610917912644224,4.290459441148391,1.1267547346217186,1.6431150409603454,2
2017,7.8,Белгородская область,30342.0,99.1,29066.0,104.5,43.4,11.8,44.8,45.2,2.3,15113.0,218812.91666666663,6087.083333333333,10263.083333333334,16180.25,36412.583333333336,149869.91666666666,539720.5,1508137.0,34.0,43.0,203298.0,16.4,1566651476.0,55.2,145.08822253327557,47.5,1038.7991780587572,0.475609756097561,10.020972895698469,2.249718785151856,2.845232581221465,4.036160728987706,6.805139939762325,10.728634069716476,24.144081958955542,99.37420583585354,10.320321127381453,4.6061696863211745,10.277358789053114,4.658710952916121,13.198808544759716,12.222433080765189,21.1722063614154,6.94678287546917,9.623376745580666,14.226386335299416,2.399800084374058,12.295976952016728,8.714088587577494,9.23640602525446,9.691608443499849,10.502697152512953,11.91752964703234,4.984210703140947,1.6166440316751205,2.0547824833085633,2.4620332082903333,3.2246225590729773,4.608905260264055,3.832979798087693,1.1939224684724346,3.8815637979434374,3.5553480614894135,3.784189633918261,1.1785684649523307,1.3468340903925655,2
2018,7.5,Белгородская область,30778.0,98.7,31852.0,106.8,44.8,12.9,42.3,41.3,3.2,14318.0,210249.5833333333,5595.166666666667,10046.0,15496.916666666666,34092.416666666664,145019.08333333334,588641.5,1511899.0,33.0,40.0,217059.0,15.6,1790868258.62,57.7,139.06324650875047,44.5,1184.5158033836915,0.4807692307692308,9.47020931953788,2.30479117195139,2.793686269031988,3.700754261142224,6.644623748014913,10.24996819672919,22.5494008969294,95.91849940593475,10.334587918236124,4.602165676967792,10.36888684808733,4.680277658474897,13.285574317407592,12.287929092000006,21.305966400435125,7.077933235980668,9.569342605674006,14.228877695968292,2.3485340169975855,12.256055352306175,8.629837118520323,9.215029361462314,9.64846088527154,10.436859585004656,11.884627517558805,4.942094081372916,1.54772297693439,2.0340026227369323,2.420365301689028,3.1591003805180016,4.573870413017226,3.744787086052232,1.4350845252893227,3.817712325956905,3.5263605246161616,3.713572066704308,1.1953732858161037,1.333338176747365,2
2019,7.8,Белгородская область,32352.0,100.6,34615.0,104.0,0.0,0.0,0.0,45.650000000000006,2.15,13197.99,203847.16666666663,5296.416666666667,9865.083333333334,15238.833333333334,32093.166666666668,141353.66666666666,617426.5,1513860.0,16.0,23.0,230704.0,13.8,1878072735.14,0.0,134.65390899202478,47.8,1240.58548025577,0.5652173913043478,8.718104712456897,1.212305813233682,1.7426896065234176,3.4986172213194533,6.516509672845134,10.06621043777716,21.199560505374784,93.37301115470828,10.384462031332603,4.6210435351443815,10.45207128190472,4.653960350157523,13.333316931684422,12.348895117095603,21.35351194762145,7.124144454978946,9.487895590495514,14.230173898989326,2.273990611029272,12.225130714665957,8.574974559328147,9.19685822827467,9.631667893047856,10.376429568824486,11.859027377551405,4.910106855438915,1.5037700654035928,2.0171018909664693,2.403896360902475,3.100072491627079,4.547255133489736,3.842672927293353,1.1474024528375415,3.8877303128591016,2.833213344056216,3.1780538303479458,0.7940353260181343,1.0089390471579012,2
2020,7.2,Белгородская область,32841.0,98.1,37442.0,104.8,43.4,11.8,42.3,45.650000000000006,2.15,12351.99,196594.0833333333,5034.583333333333,9576.916666666666,14979.25,30043.58333333333,136959.75,646569.0,1511662.0,22.0,25.0,237076.0,16.1,1948293818.62,55.2,130.05161427179706,47.8,1288.8422270454637,0.4472049689440993,8.171132171080572,1.781089524845794,2.023965369142948,3.330495397339705,6.335355831307969,9.90912651108515,19.87453765017135,90.60209888189291,10.399463463051784,4.596129441335942,10.530575055586564,4.661550519424199,13.379436746661392,12.376140261865242,21.390219862219944,7.162275185259979,9.42165341801653,14.228720927281492,2.2160607433234176,12.188901477905036,8.52428465411884,9.167215380370518,9.61448794585051,10.310437668585106,11.827449667411978,4.8755912476775025,1.4656819459410833,1.9927059218440664,2.3895997334944887,3.038530121996852,4.517454184975356,3.842672927293353,1.1474024528375415,3.8877303128591016,3.1354942159291497,3.258096538021482,1.0228427663359163,1.1065690062487183,2
2015,14.1,Брянская область,23428.0,97.0,21679.0,89.0,41.599999999999994,4.300000000000001,54.8,102.5,6.7,14067.0,107690.33333333334,3735.4583333333335,6433.166666666666,9921.916666666668,19809.833333333336,67656.75,221080.0,1423178.0,44.0,67.0,177048.0,22.0,187525064.6,45.89999999999999,75.66891375030625,109.2,131.76501084193262,0.6409090909090909,9.884216872379984,3.127887964740172,4.762920309945262,2.62473023988098,4.520282541373367,6.971662481198183,13.919434767354003,47.53920451271731,10.06172985026664,4.584967478670572,9.984145455553582,4.499809670330265,12.306284429186473,12.0841818094021,19.049423077639936,4.888580729751528,9.551657993593873,14.168403659744293,2.3873137465199834,11.587024389463974,8.225893472052539,8.76937761151486,9.20260217588106,9.89398420510432,11.122217187273923,4.339496329612166,1.2877798689530295,1.708429044010502,2.0758930634209247,2.7026647098323866,3.882371811880633,4.639571612705423,2.0412203288596382,4.702296896718814,3.80666248977032,4.219507705176107,1.4177658874863857,1.751444344481995,2
2016,14.4,Брянская область,24006.0,95.0,22923.0,98.5,41.599999999999994,4.300000000000001,54.8,107.9,13.2,13379.0,107690.33333333334,3735.4583333333335,6433.166666666666,9921.916666666668,19809.833333333336,67656.75,258752.7,1407965.0,36.0,67.0,179767.0,26.6,192667442.62,45.89999999999999,76.48651304068875,121.1,136.841073904536,0.5413533834586466,9.502366891222438,2.6907840645788172,5.0078481201883545,2.6530903348686463,4.569123995743265,7.046990988175607,14.069833648800456,48.052863529988315,10.086100733470296,4.564348191467836,10.039939675671627,4.600157644164547,12.463631922976386,12.099422409651767,19.07647617059017,4.926101383139238,9.50151633368222,14.157656667681293,2.351600649972271,11.587024389463974,8.225893472052539,8.76937761151486,9.20260217588106,9.89398420510432,11.122217187273923,4.350103895933709,1.2955734764613034,1.717237769711299,2.085298231264724,2.71269497401082,3.892898564123613,4.690430029938915,2.653241964607215,4.804840381116659,3.610917912644224,4.219507705176107,1.3058389191066833,1.793066634546486,2
2017,14.2,Брянская область,25107.0,99.4,24743.0,103.2,42.9,4.9,52.2,92.2,10.7,11552.99,109693.41666666669,4098.166666666667,6521.666666666667,10130.5,21214.33333333333,67728.75,280630.1,1391430.0,31.0,65.0,192775.0,24.7,429415243.0,47.8,78.83502344111216,102.9,308.6143341741949,0.5748987854251012,8.302961701271354,2.6832880492409323,5.626249135505181,2.9452912950465833,4.687024619755695,7.280639342259402,15.246425140562822,48.67564304348763,10.130941799437425,4.609162207257629,10.116338314364906,4.646312129319266,12.54479627443617,12.16928417208234,19.87793494347747,5.735327439656063,9.354786110839711,14.145843271941756,2.230332811963087,11.60545374858398,8.318538980001385,8.783038569258844,9.223404661305384,9.96247946966634,11.123280801075603,4.3799622984111135,1.3725227906204327,1.7381871974441288,2.1139201806649446,2.7878728932241197,3.9055147333664273,4.534747721691546,2.4595888418037104,4.6434288981051814,3.4657359027997265,4.189654742026425,1.3038058448963474,1.8910389028547023,2
2018,13.6,Брянская область,26585.0,102.1,27251.0,107.0,40.3,1.8,57.9,82.2,6.1,11124.0,108158.91666666669,3845.5833333333335,6439.333333333333,9962.0,20327.25,67584.75,304547.1,1375004.0,12.0,33.0,209987.0,23.7,490874009.4,42.099999999999994,78.66080147160785,88.3,356.9982410232988,0.5738396624472574,8.090158283175903,1.0787486515641855,2.9665587918015106,2.7967797427013545,4.683137891477649,7.245069832524123,14.783411539166432,49.15240246573828,10.188140040427545,4.635699391022914,10.21288219189356,4.68213122712422,12.626584317532314,12.254805665209748,20.011698054868564,5.880528073045889,9.31695010703444,14.133967925439832,2.207192320928423,11.591366120812983,8.254940587381155,8.770335577593274,9.206633510044856,9.919766823232129,11.121152440993294,4.377777638857892,1.3341532713241289,1.7375035258738067,2.1096154256572137,2.758959485914728,3.91506641885848,4.421247347827163,1.9600947840472696,4.492001487882454,2.5649493574615367,3.5263605246161616,0.7317661028485112,1.377898915735417,2
