region,not_crowded_pct,somewhat_crowded_pct,very_crowded_pct,no_answer_pct,total_area_per_person,living_area_per_person,rooms_per_household,intend_improve_housing,intend_due_to_crowding,intend_due_to_bad_condition,intend_due_to_both,plan_dolevka,plan_queue,plan_resettle,plan_buy_or_build,plan_rent,plan_other,no_answer,not_intending_to_improve,year,region_standard
Bладимирская область,81.8,15.8,2.5,0.0,24.2,16.1,2.2,9.0,3.8,0.2,0.0,13.8,1.7,0,38.4,1.5,44.5,0,91.0,2020,Владимирская область
Bолгоградская область,82.7,13.9,3.3,0.0,25.6,17.9,2.5,12.1,6.2,1.0,0.6,2,3.3,0,39.5,3.2,52.4,0,87.4,2020,Волгоградская область
Bологодская область,87.5,9.6,2.9,0.0,22.9,16.9,2.2,13.6,3.4,1.1,0.3,6.1,2.3,2.9,43.5,2.7,42.5,0,86.4,2020,Вологодская область
Bоронежская область,87.0,11.4,1.6,0.1,29.0,19.9,2.6,14.2,4.2,0.9,0.1,15.4,3.7,0.3,29.4,1.4,49.7,0,85.5,2020,Воронежская область
Алтайский край,83.2,13.4,3.3,0.1,25.9,18.0,2.4,14.9,6.3,0.3,0.2,3.1,5,0.8,31.5,3.9,56.2,0.6,85.1,2020,Алтайский край
Амурская область,77.3,16.8,5.9,0.0,23.2,17.3,2.3,14.7,6.1,1.3,0.3,16.6,5.5,1.8,32.6,7.1,35.1,1.3,84.6,2020,Амурская область
Архангельская область без авт. округа,83.3,14.5,2.2,0.0,24.6,16.9,2.4,13.4,5.9,1.4,0.7,15.7,3.4,6.3,32.7,4.6,37.3,0,86.6,2020,Архангельская область
Астраханская область,77.5,19.4,3.1,0.0,24.9,19.2,2.3,16.4,5.3,0.8,0.2,7.5,8.1,9.6,36.3,0.9,36.2,1.3,81.8,2020,Астраханская область
Белгородская область,86.3,11.7,2.0,0.0,25.1,17.8,2.6,12.0,4.2,0.7,0.4,11.2,1.6,1.6,29.5,0,56.9,0,88.0,2020,Белгородская область
Брянская область,94.7,4.6,0.6,0.0,30.5,24.1,3.2,5.7,0.8,0.1,0.0,…*,...,...,...,...,...,...,94.3,2020,Брянская область
Еврейская авт. область,82.2,13.1,4.6,0.0,20.1,13.8,2.2,20.9,3.5,0.9,0.5,...,...,...,...,...,...,...,79.1,2020,Еврейская автономная область
Забайкальский край,81.9,13.0,5.1,0.1,23.1,17.1,2.4,27.9,6.3,1.8,0.9,6,2.1,3.6,26,4.2,58.7,0,71.0,2020,Забайкальский край
