region,year,births,region_standard
Агинский Бурятский округ (Забайкальский край),2006,1335.0,Забайкальский край
Агинский Бурятский округ (Забайкальский край),2007,1531.0,Забайкальский край
Агинский Бурятский округ (Забайкальский край),2008,1756.0,Забайкальский край
Агинский Бурятский округ (Забайкальский край),2009,1738.0,Забайкальский край
Агинский Бурятский округ (Забайкальский край),2010,1831.0,Забайкальский край
Алтайский край,2006,25512.99,Алтайский край
Алтайский край,2007,28209.0,Алтайский край
Алтайский край,2008,30710.96,Алтайский край
Алтайский край,2009,31037.99,Алтайский край
Алтайский край,2010,30862.98,Алтайский край
Алтайский край,2011,30738.98,Алтайский край
Алтайский край,2012,32694.99,Алтайский край
Алтайский край,2013,32460.99,Алтайский край
Алтайский край,2014,31428.98,Алтайский край
Алтайский край,2015,30064.99,Алтайский край
Алтайский край,2016,28866.99,Алтайский край
Алтайский край,2017,25524.98,Алтайский край
Алтайский край,2018,23491.0,Алтайский край
Алтайский край,2019,21117.0,Алтайский край
Алтайский край,2020,19976.0,Алтайский край
Алтайский край,2021,18992.0,Алтайский край
Амурская область,2006,10405.0,Амурская область
Амурская область,2007,10934.99,Амурская область
Амурская область,2008,11233.0,Амурская область
Амурская область,2009,11383.98,Амурская область
Амурская область,2010,11473.0,Амурская область
Амурская область,2011,11188.0,Амурская область
Амурская область,2012,11733.0,Амурская область
Амурская область,2013,11482.99,Амурская область
Амурская область,2014,11158.99,Амурская область
Амурская область,2015,10781.0,Амурская область
Амурская область,2016,10377.0,Амурская область
Амурская область,2017,9430.0,Амурская область
Амурская область,2018,8889.0,Амурская область
Амурская область,2019,7919.0,Амурская область
Амурская область,2020,7853.0,Амурская область
Амурская область,2021,7343.0,Амурская область
Архангельская область,2006,13991.0,Архангельская область
Архангельская область,2007,15088.0,Архангельская область
Архангельская область,2008,15271.0,Архангельская область
Архангельская область,2009,15461.0,Архангельская область
Архангельская область,2010,15514.0,Архангельская область
Архангельская область,2011,14894.0,Архангельская область
Архангельская область,2012,15470.0,Архангельская область
Архангельская область,2013,15295.0,Архангельская область
Архангельская область,2014,15048.0,Архангельская область
Архангельская область,2015,14670.0,Архангельская область
Архангельская область,2016,14121.0,Архангельская область
Архангельская область,2017,12388.99,Архангельская область
Архангельская область,2018,11278.99,Архангельская область
Архангельская область,2019,10253.0,Архангельская область
Архангельская область,2020,9500.0,Архангельская область
Архангельская область,2021,9040.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2014,14331.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2015,13907.99,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2016,13313.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2017,11714.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2018,10671.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2019,9662.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2020,8906.0,Архангельская область
Архангельская область (кроме Ненецкого автономного округа),2021,8487.0,Архангельская область
Астраханская область,2006,12356.99,Астраханская область
Астраханская область,2007,13370.0,Астраханская область
Астраханская область,2008,14200.0,Астраханская область
Астраханская область,2009,14350.0,Астраханская область
Астраханская область,2010,14355.0,Астраханская область
Астраханская область,2011,14377.99,Астраханская область
Астраханская область,2012,15304.0,Астраханская область
Астраханская область,2013,15042.0,Астраханская область
Астраханская область,2014,15216.0,Астраханская область
Астраханская область,2015,14875.0,Астраханская область
Астраханская область,2016,14270.0,Астраханская область
Астраханская область,2017,12321.0,Астраханская область
