region,children_under_16,above_working_age,working_age_population,year,region_standard
        Белгородская область,43.4,11.8,44.8,2017,Белгородская область
        Брянская область,42.9,4.9,52.2,2017,Брянская область
        Владимирская область,34.8,8.6,56.6,2017,Владимирская область
        Воронежская область,38.6,5.9,55.6,2017,Воронежская область
        Ивановская область,33.2,10.9,55.9,2017,Ивановская область
        Калужская область,41.5,8.0,50.6,2017,Калужская область
        Костромская область,40.8,7.7,51.4,2017,Костромская область
        Курская область,33.8,8.1,58.1,2017,Курская область
        Липецкая область,30.4,12.9,56.7,2017,Липецкая область
        Московская область,42.8,6.7,50.5,2017,Московская область
        Орловская область,35.1,7.9,57.0,2017,Орловская область
        Рязанская область,37.6,9.0,53.5,2017,Рязанская область
        Смоленская область,32.1,10.3,57.7,2017,Смоленская область
        Тамбовская область,32.7,8.2,59.1,2017,Тамбовская область
        Тверская область,38.4,7.4,54.2,2017,Тверская область
        Тульская область,42.5,1.7,55.8,2017,Тульская область
        Ярославская область,37.7,4.4,57.9,2017,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,45.6,7.3,47.1,2017,Москва
        Республика Карелия,34.8,6.6,58.7,2017,Республика Карелия
        Республика Коми,34.8,8.5,56.8,2017,Республика Коми
        Архангельская область,38.1,6.8,55.1,2017,Архангельская область
            Ненецкий автономный округ (Архангельская область),50.5,1.0,48.4,2017,Ненецкий автономный округ
            Архангельская область (без АО),37.4,7.1,55.5,2017,Архангельская область
        Вологодская область,38.2,9.8,51.9,2017,Вологодская область
        Калининградская область,35.9,10.6,53.5,2017,Калининградская область
        Ленинградская область,31.5,6.4,62.1,2017,Ленинградская область
        Мурманская область,42.3,2.8,54.8,2017,Мурманская область
        Новгородская область,30.4,11.0,58.5,2017,Новгородская область
        Псковская область,38.1,5.2,56.7,2017,Псковская область
        Город Санкт-Петербург город федерального значения,26.6,0.0,73.4,2017,Санкт-Петербург
        Республика Адыгея (Адыгея),38.5,10.7,50.8,2017,Республика Адыгея
        Республика Калмыкия,37.5,5.4,57.1,2017,Республика Калмыкия
        Республика Крым,42.2,6.3,51.5,2017,Республика Крым
        Краснодарский край,40.5,11.6,47.9,2017,Краснодарский край
        Астраханская область,40.2,4.2,55.5,2017,Астраханская область
        Волгоградская область,34.6,6.3,59.1,2017,Волгоградская область
        Ростовская область,40.1,3.8,56.1,2017,Ростовская область
        Город федерального значения Севастополь,37.6,5.6,56.7,2017,Севастополь
        Республика Дагестан,40.9,5.3,53.8,2017,Республика Дагестан
        Республика Ингушетия,42.9,6.8,50.2,2017,Республика Ингушетия
        Кабардино-Балкарская Республика,33.0,13.0,54.0,2017,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,35.6,7.9,56.5,2017,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,34.3,10.4,55.3,2017,Республика Северная Осетия - Алания
        Чеченская Республика,46.6,6.3,47.2,2017,Чеченская Республика
        Ставропольский край,37.4,3.4,59.1,2017,Ставропольский край
        Республика Башкортостан,40.8,7.5,51.8,2017,Республика Башкортостан
        Республика Марий Эл,31.2,4.0,64.8,2017,Республика Марий Эл
        Республика Мордовия,35.3,6.2,58.6,2017,Республика Мордовия
        Республика Татарстан (Татарстан),42.7,9.9,47.4,2017,Республика Татарстан
        Удмуртская Республика,32.9,8.7,58.4,2017,Удмуртская Республика
        Чувашская Республика - Чувашия,33.2,7.4,59.5,2017,Чувашская Республика
        Пермский край,41.0,4.2,54.8,2017,Пермский край
        Кировская область,37.6,4.9,57.5,2017,Кировская область
        Нижегородская область,38.7,10.9,50.4,2017,Нижегородская область
        Оренбургская область,39.6,8.6,51.8,2017,Оренбургская область
        Пензенская область,39.1,8.8,52.1,2017,Пензенская область
        Самарская область,39.4,3.6,57.0,2017,Самарская область
        Саратовская область,38.4,6.5,55.1,2017,Саратовская область
        Ульяновская область,39.1,5.2,55.7,2017,Ульяновская область
        Курганская область,37.7,3.5,58.9,2017,Курганская область
        Свердловская область,39.5,4.4,56.0,2017,Свердловская область
        Тюменская область,42.6,3.7,53.7,2017,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),42.8,4.7,52.4,2017,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),37.8,1.3,60.8,2017,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),52.5,2.2,45.2,2017,Тюменская область
        Челябинская область,41.3,2.8,56.0,2017,Челябинская область
Республика Алтай,42.6,4.3,53.1,2017,Республика Алтай
Республика Тыва,43.6,5.9,50.5,2017,Республика Тыва
Республика Хакасия,39.3,4.4,56.3,2017,Республика Хакасия
Алтайский край,38.0,6.4,55.6,2017,Алтайский край
Красноярский край,39.5,4.2,56.3,2017,Красноярский край
Иркутская область,36.8,5.7,57.4,2017,Иркутская область
Кемеровская область - Кузбасс,44.0,4.9,51.2,2017,Кемеровская область
Новосибирская область,33.1,11.0,55.9,2017,Новосибирская область
Омская область,42.0,6.3,51.7,2017,Омская область
Томская область,38.6,4.5,57.0,2017,Томская область
Республика Бурятия,42.9,6.7,50.5,2017,Республика Бурятия
Забайкальский край,37.0,8.8,54.3,2017,Забайкальский край
Республика Саха (Якутия),44.9,5.3,49.8,2017,Республика Саха (Якутия)
Камчатский край,31.3,5.2,63.5,2017,Камчатский край
Приморский край,36.1,5.9,58.0,2017,Приморский край
Хабаровский край,38.8,6.8,54.4,2017,Хабаровский край
Амурская область,39.9,6.0,54.1,2017,Амурская область
Магаданская область,32.2,14.8,53.0,2017,Магаданская область
Сахалинская область,36.4,6.4,57.1,2017,Сахалинская область
Еврейская автономная область,36.0,9.9,54.1,2017,Еврейская автономная область
Чукотский автономный округ,46.9,2.7,50.4,2017,Чукотский автономный округ
        Белгородская область,44.8,12.9,42.3,2018,Белгородская область
