region,year,grp_per_capita,region_standard
Российская Федерация,1996,12225.0,
        Белгородская область,1996,9575.6,Белгородская область
        Брянская область,1996,7275.3,Брянская область
        Владимирская область,1996,7620.7,Владимирская область
        Воронежская область,1996,7651.9,Воронежская область
        Ивановская область,1996,6725.4,Ивановская область
        Калужская область,1996,8366.3,Калужская область
        Костромская область,1996,9104.8,Костромская область
        Курская область,1996,9158.0,Курская область
        Липецкая область,1996,11823.5,Липецкая область
        Московская область,1996,9649.7,Московская область
        Орловская область,1996,7665.2,Орловская область
        Рязанская область,1996,8762.6,Рязанская область
        Смоленская область,1996,8327.8,Смоленская область
        Тамбовская область,1996,6030.8,Тамбовская область
        Тверская область,1996,8464.8,Тверская область
        Тульская область,1996,8251.2,Тульская область
        Ярославская область,1996,11680.5,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1996,21687.1,Москва
        Республика Карелия,1996,11561.1,Республика Карелия
        Республика Коми,1996,16999.7,Республика Коми
        Архангельская область,1996,12218.6,Архангельская область
        Вологодская область,1996,14189.5,Вологодская область
        Калининградская область,1996,7704.7,Калининградская область
        Ленинградская область,1996,10039.7,Ленинградская область
        Мурманская область,1996,15833.2,Мурманская область
        Новгородская область,1996,9561.0,Новгородская область
        Псковская область,1996,6963.5,Псковская область
        Город Санкт-Петербург город федерального значения,1996,13066.7,Санкт-Петербург
        Республика Адыгея (Адыгея),1996,5207.4,Республика Адыгея
        Республика Калмыкия,1996,3911.5,Республика Калмыкия
        Краснодарский край,1996,8455.9,Краснодарский край
        Астраханская область,1996,7643.9,Астраханская область
        Волгоградская область,1996,9799.8,Волгоградская область
        Ростовская область,1996,6609.4,Ростовская область
        Республика Дагестан,1996,2722.1,Республика Дагестан
        Республика Ингушетия,1996,2405.1,Республика Ингушетия
        Кабардино-Балкарская Республика,1996,5131.4,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1996,5435.4,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1996,4538.4,Республика Северная Осетия - Алания
        Чеченская Республика,1996,0.0,Чеченская Республика
        Ставропольский край,1996,7718.6,Ставропольский край
        Республика Башкортостан,1996,12454.1,Республика Башкортостан
        Республика Марий Эл,1996,6293.8,Республика Марий Эл
        Республика Мордовия,1996,7777.3,Республика Мордовия
        Республика Татарстан (Татарстан),1996,14061.5,Республика Татарстан
        Удмуртская Республика,1996,10571.8,Удмуртская Республика
        Чувашская Республика - Чувашия,1996,7326.2,Чувашская Республика
        Пермский край,1996,13694.7,Пермский край
        Кировская область,1996,8793.4,Кировская область
        Нижегородская область,1996,9774.8,Нижегородская область
        Оренбургская область,1996,10648.6,Оренбургская область
        Пензенская область,1996,6995.7,Пензенская область
        Самарская область,1996,15758.0,Самарская область
        Саратовская область,1996,8580.5,Саратовская область
        Ульяновская область,1996,9311.9,Ульяновская область
        Курганская область,1996,7357.7,Курганская область
        Свердловская область,1996,13311.3,Свердловская область
        Тюменская область,1996,49237.2,Тюменская область
        Челябинская область,1996,12426.6,Челябинская область
        Республика Алтай,1996,6277.4,Республика Алтай
        Республика Тыва,1996,5099.6,Республика Тыва
        Республика Хакасия,1996,10787.0,Республика Хакасия
        Алтайский край,1996,7605.8,Алтайский край
        Красноярский край,1996,17517.4,Красноярский край
        Иркутская область,1996,15518.2,Иркутская область
        Кемеровская область - Кузбасс,1996,15627.0,Кемеровская область
        Новосибирская область,1996,11115.4,Новосибирская область
        Омская область,1996,12060.1,Омская область
        Томская область,1996,15713.5,Томская область
        Республика Бурятия,1996,9230.7,Республика Бурятия
        Забайкальский край,1996,9220.2,Забайкальский край
        Республика Саха (Якутия),1996,27259.7,Республика Саха (Якутия)
        Камчатский край,1996,20397.7,Камчатский край
        Приморский край,1996,11258.5,Приморский край
        Хабаровский край,1996,14517.1,Хабаровский край
        Амурская область,1996,13155.7,Амурская область
        Магаданская область,1996,26438.6,Магаданская область
        Сахалинская область,1996,15476.9,Сахалинская область
        Еврейская автономная область,1996,7177.0,Еврейская автономная область
        Чукотский автономный округ,1996,30606.1,Чукотский автономный округ
Российская Федерация,1997,13938.4,
        Белгородская область,1997,10792.2,Белгородская область
        Брянская область,1997,7175.7,Брянская область
        Владимирская область,1997,8431.3,Владимирская область
        Воронежская область,1997,8686.6,Воронежская область
        Ивановская область,1997,6379.3,Ивановская область
        Калужская область,1997,8795.3,Калужская область
        Костромская область,1997,10268.0,Костромская область
        Курская область,1997,10286.3,Курская область
        Липецкая область,1997,12175.3,Липецкая область
        Московская область,1997,10170.6,Московская область
        Орловская область,1997,8661.3,Орловская область
        Рязанская область,1997,9945.7,Рязанская область
        Смоленская область,1997,9032.6,Смоленская область
        Тамбовская область,1997,6571.0,Тамбовская область
        Тверская область,1997,9094.9,Тверская область
        Тульская область,1997,8396.3,Тульская область
        Ярославская область,1997,12459.9,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1997,29067.4,Москва
        Республика Карелия,1997,12871.6,Республика Карелия
        Республика Коми,1997,21659.7,Республика Коми
        Архангельская область,1997,14133.4,Архангельская область
        Вологодская область,1997,14862.7,Вологодская область
        Калининградская область,1997,8229.3,Калининградская область
        Ленинградская область,1997,10569.5,Ленинградская область
        Мурманская область,1997,18427.8,Мурманская область
        Новгородская область,1997,10009.0,Новгородская область
        Псковская область,1997,7575.5,Псковская область
        Город Санкт-Петербург город федерального значения,1997,14800.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1997,5814.9,Республика Адыгея
        Республика Калмыкия,1997,4752.6,Республика Калмыкия
        Краснодарский край,1997,8538.6,Краснодарский край
        Астраханская область,1997,8559.6,Астраханская область
        Волгоградская область,1997,10447.4,Волгоградская область
        Ростовская область,1997,7493.3,Ростовская область
        Республика Дагестан,1997,3888.4,Республика Дагестан
        Республика Ингушетия,1997,3317.1,Республика Ингушетия
        Кабардино-Балкарская Республика,1997,5459.2,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1997,5703.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1997,4796.8,Республика Северная Осетия - Алания
        Чеченская Республика,1997,0.0,Чеченская Республика
        Ставропольский край,1997,8833.8,Ставропольский край
        Республика Башкортостан,1997,14086.0,Республика Башкортостан
        Республика Марий Эл,1997,7522.7,Республика Марий Эл
