region,year,income_per_capita,real_income,nominal_wage,real_wage,region_standard
Алтайский край,2015,20860.0,99.1,20090.0,90,Алтайский край
Алтайский край,2016,21256.0,94.7,21202.0,98.4,Алтайский край
Алтайский край,2017,22139.0,100.0,22743.0,103.6,Алтайский край
Алтайский край,2018,22829.0,99.7,25519.0,109.3,Алтайский край
Алтайский край,2019,23937.0,99.6,27962.0,104.9,Алтайский край
Алтайский край,2020,23864.0,95.5,30072.0,103.8,Алтайский край
Амурская область,2015,28240.0,96.1,32902.0,88,Амурская область
Амурская область,2016,27976.0,92.1,33837.0,96.0,Амурская область
Амурская область,2017,29213.0,101.1,37368.0,107.4,Амурская область
Амурская область,2018,30937.0,102.4,42315.0,110.1,Амурская область
Амурская область,2019,33304.0,101.7,47234.0,106.0,Амурская область
Амурская область,2020,35499.0,100.3,52430.0,105.2,Амурская область
Архангельская область,2015,31285.0,95.1,38300.0,92.7,Архангельская область
Архангельская область,2016,31394.0,92.9,40790.0,99.4,Архангельская область
Архангельская область,2017,32310.0,98.9,42950.0,102.0,Архангельская область
Архангельская область,2018,33831.0,102.0,48307.0,110.6,Архангельская область
Архангельская область,2019,35693.0,100.1,52434.0,103.8,Архангельская область
Архангельская область,2020,36779.0,98.6,55891.0,102.8,Архангельская область
"Архангельская область без
автономного округа",2015,29716.0,95.1,35592.0,92.4,
"Архангельская область без
автономного округа",2016,29837.0,93.0,38118.0,100.0,
"Архангельская область без
автономного округа",2017,30707.0,98.7,40352.0,102.5,
"Архангельская область без
автономного округа",2018,32054.0,101.7,45427.0,110.7,
"Архангельская область без
автономного округа",2019,33874.0,100.2,49435.0,104.0,
"Архангельская область без
автономного округа",2020,34852.0,98.4,52779.0,102.9,
Астраханская область,2015,23832.0,94.0,25499.0,89.9,Астраханская область
Астраханская область,2016,22841.0,90.1,27493.0,101.4,Астраханская область
Астраханская область,2017,22884.0,97.1,29599.0,104.5,Астраханская область
Астраханская область,2018,23670.0,100.6,33630.0,110.7,Астраханская область
Астраханская область,2019,24971.0,100.7,36093.0,103.0,Астраханская область
Астраханская область,2020,25199.0,97.1,38885.0,104.5,Астраханская область
Белгородская область,2015,28043.0,99.3,25456.0,93.2,Белгородская область
Белгородская область,2016,29799.0,100.8,27091.0,100.8,Белгородская область
Белгородская область,2017,30342.0,99.1,29066.0,104.5,Белгородская область
Белгородская область,2018,30778.0,98.7,31852.0,106.8,Белгородская область
Белгородская область,2019,32352.0,100.6,34615.0,104.0,Белгородская область
Белгородская область,2020,32841.0,98.1,37442.0,104.8,Белгородская область
Брянская область,2015,23428.0,97.0,21679.0,89,Брянская область
Брянская область,2016,24006.0,95.0,22923.0,98.5,Брянская область
Брянская область,2017,25107.0,99.4,24743.0,103.2,Брянская область
Брянская область,2018,26585.0,102.1,27251.0,107.0,Брянская область
Брянская область,2019,28371.0,100.5,29853.0,104.0,Брянская область
Брянская область,2020,28596.0,96.3,31946.0,102.9,Брянская область
