region,year,retail_per_capita,region_standard
Российская Федерация,2000,16046.0,
    Центральный федеральный округ,2000,26062.0,
        Белгородская область,2000,11820.0,Белгородская область
        Брянская область,2000,8267.0,Брянская область
        Владимирская область,2000,7442.0,Владимирская область
        Воронежская область,2000,11713.0,Воронежская область
        Ивановская область,2000,6687.0,Ивановская область
        Калужская область,2000,8723.0,Калужская область
        Костромская область,2000,9132.0,Костромская область
        Курская область,2000,10271.0,Курская область
        Липецкая область,2000,13327.0,Липецкая область
        Московская область,2000,14616.0,Московская область
        Орловская область,2000,10831.0,Орловская область
        Рязанская область,2000,8836.0,Рязанская область
        Смоленская область,2000,13648.0,Смоленская область
        Тамбовская область,2000,11286.0,Тамбовская область
        Тверская область,2000,9488.0,Тверская область
        Тульская область,2000,8676.0,Тульская область
        Ярославская область,2000,10103.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2000,68083.0,Москва
    Северо-Западный федеральный округ,2000,14908.0,
        Республика Карелия,2000,13765.0,Республика Карелия
        Республика Коми,2000,18341.0,Республика Коми
        Архангельская область,2000,11845.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2000,13040.0,Ненецкий автономный округ
            Архангельская область (без АО),2000,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2000,0.0,Архангельская область
        Вологодская область,2000,10665.0,Вологодская область
        Калининградская область,2000,13575.0,Калининградская область
        Ленинградская область,2000,9417.0,Ленинградская область
        Мурманская область,2000,21984.0,Мурманская область
        Новгородская область,2000,12958.0,Новгородская область
        Псковская область,2000,10180.0,Псковская область
        Город Санкт-Петербург город федерального значения,2000,18292.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2000,12040.0,
        Республика Адыгея (Адыгея),2000,9712.0,Республика Адыгея
        Республика Калмыкия,2000,4844.0,Республика Калмыкия
        Краснодарский край,2000,12107.0,Краснодарский край
        Астраханская область,2000,10876.0,Астраханская область
        Волгоградская область,2000,10958.0,Волгоградская область
        Ростовская область,2000,13625.0,Ростовская область
    Северо-Кавказский федеральный округ,2000,8097.0,
        Республика Дагестан,2000,5620.0,Республика Дагестан
        Республика Ингушетия,2000,2968.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2000,7249.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2000,7659.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2000,9289.0,Республика Северная Осетия - Алания
        Чеченская Республика,2000,0.0,Чеченская Республика
        Ставропольский край,2000,11098.0,Ставропольский край
    Приволжский федеральный округ,2000,12254.0,
        Республика Башкортостан,2000,11998.0,Республика Башкортостан
        Республика Марий Эл,2000,6979.0,Республика Марий Эл
        Республика Мордовия,2000,7267.0,Республика Мордовия
        Республика Татарстан (Татарстан),2000,11830.0,Республика Татарстан
        Удмуртская Республика,2000,9510.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2000,7451.0,Чувашская Республика
        Пермский край,2000,14103.0,Пермский край
"            Коми-Пермяцкий округ, входящий в состав Пермского края",2000,3569.0,
        Кировская область,2000,8946.0,Кировская область
        Нижегородская область,2000,11952.0,Нижегородская область
        Оренбургская область,2000,7747.0,Оренбургская область
        Пензенская область,2000,9224.0,Пензенская область
        Самарская область,2000,25706.0,Самарская область
        Саратовская область,2000,10872.0,Саратовская область
        Ульяновская область,2000,10008.0,Ульяновская область
    Уральский федеральный округ,2000,13620.0,
        Курганская область,2000,8061.0,Курганская область
        Свердловская область,2000,12861.0,Свердловская область
        Тюменская область,2000,19638.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2000,21482.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2000,26138.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2000,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2000,0.0,Тюменская область
        Челябинская область,2000,10857.0,Челябинская область
    Сибирский федеральный округ,2000,12633.0,
        Республика Алтай,2000,6429.0,Республика Алтай
        Республика Тыва,2000,5843.0,Республика Тыва
        Республика Хакасия,2000,10313.0,Республика Хакасия
        Алтайский край,2000,9221.0,Алтайский край
        Красноярский край,2000,16141.0,Красноярский край
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),2000,20134.0,
            Эвенкийский автономный округ (Красноярский край),2000,10965.0,
        Иркутская область,2000,15767.0,Иркутская область
            Усть-Ордынский Бурятский округ,2000,3456.0,
        Кемеровская область - Кузбасс,2000,12994.0,Кемеровская область
        Новосибирская область,2000,14573.0,Новосибирская область
        Омская область,2000,10477.0,Омская область
        Томская область,2000,12387.0,Томская область
    Дальневосточный федеральный округ,2000,14200.0,
        Республика Бурятия,2000,10959.0,Республика Бурятия
        Забайкальский край,2000,8419.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),2000,5843.0,Забайкальский край
        Республика Саха (Якутия),2000,21030.0,Республика Саха (Якутия)
        Камчатский край,2000,19297.0,Камчатский край
"            Корякский округ, входящий в состав Камчатского края",2000,15822.0,
        Приморский край,2000,11819.0,Приморский край
